src_plate,src_well,src_name,total_volume,dest_plate
mut,A1,1_1,20.0,
mut,A11,1_11,10.0,
mut,A12,1_12,10.0,
mut,A13,1_13,10.0,
mut,A14,1_14,10.0,
mut,A15,1_15,10.0,
mut,A17,2_2,10.0,
mut,A18,2_3,10.0,
mut,A19,2_4,10.0,
mut,A2,1_2,10.0,
mut,A20,2_5,10.0,
mut,A21,2_6,10.0,
mut,A22,2_7,10.0,
mut,A23,2_8,10.0,
mut,A24,2_9,10.0,
mut,A3,1_3,10.0,
mut,A4,1_4,10.0,
mut,A5,1_5,10.0,
mut,A6,1_6,10.0,
mut,A7,1_7,10.0,
mut,A8,1_8,10.0,
mut,A9,1_9,10.0,
mut,B1,2_1,20.0,
mut,B10,3_5,10.0,
mut,B11,3_6,10.0,
mut,B12,3_7,10.0,
mut,B13,3_8,10.0,
mut,B14,3_9,10.0,
mut,B16,3_11,10.0,
mut,B17,3_12,10.0,
mut,B18,3_13,10.0,
mut,B2,2_11,10.0,
mut,B20,4_2,10.0,
mut,B21,4_3,10.0,
mut,B22,4_4,10.0,
mut,B23,4_5,10.0,
mut,B24,4_6,10.0,
mut,B3,2_12,10.0,
mut,B4,2_13,10.0,
mut,B5,2_14,10.0,
mut,B6,3_1,20.0,
mut,B7,3_2,10.0,
mut,B8,3_3,10.0,
mut,B9,3_4,10.0,
mut,C1,4_7,10.0,
mut,C10,5_2,10.0,
mut,C11,5_3,10.0,
mut,C12,5_4,10.0,
mut,C13,5_5,10.0,
mut,C14,5_6,10.0,
mut,C15,5_7,10.0,
mut,C16,5_8,10.0,
mut,C17,5_9,10.0,
mut,C19,5_11,10.0,
mut,C2,4_8,10.0,
mut,C20,5_12,10.0,
mut,C21,5_13,10.0,
mut,C22,5_14,10.0,
mut,C24,6_2,10.0,
mut,C3,4_9,10.0,
mut,C4,4_1,20.0,
mut,C5,4_11,10.0,
mut,C6,4_12,10.0,
mut,C7,4_13,10.0,
mut,C8,4_14,10.0,
mut,C9,5_1,20.0,
mut,D1,6_3,10.0,
mut,D10,6_12,10.0,
mut,D11,7_1,20.0,
mut,D12,7_2,10.0,
mut,D13,7_3,10.0,
mut,D14,7_4,10.0,
mut,D15,7_5,10.0,
mut,D16,7_6,10.0,
