,id,id,id,id,id,id,id,id,id,id,id,id
,1,2,3,4,5,6,7,8,9,10,11,12
A,1_wt_ib,1_6_ib,2_14_ib,3_22_ib,1_1&5_ib,1_2&5_ib,1_3&6_ib,1_4&8_ib,1_6&7_ib,1_8&10_ib,2_11&18_ib,2_12&18_ib
B,2_wt_ib,1_7_ib,2_15_ib,3_23_ib,1_1&6_ib,1_2&6_ib,1_3&7_ib,1_4&9_ib,1_6&8_ib,1_9&10_ib,2_11&19_ib,2_12&19_ib
C,3_wt_ib,1_8_ib,2_16_ib,3_24_ib,1_1&7_ib,1_2&7_ib,1_3&8_ib,1_4&10_ib,1_6&9_ib,2_11&12_ib,2_11&20_ib,2_12&20_ib
D,1_1_ib,1_9_ib,2_17_ib,3_25_ib,1_1&8_ib,1_2&8_ib,1_3&9_ib,1_5&6_ib,1_6&10_ib,2_11&13_ib,2_12&13_ib,2_13&14_ib
E,1_2_ib,1_10_ib,2_18_ib,3_26_ib,1_1&9_ib,1_2&9_ib,1_3&10_ib,1_5&7_ib,1_7&8_ib,2_11&14_ib,2_12&14_ib,2_13&15_ib
F,1_3_ib,2_11_ib,2_19_ib,1_1&2_ib,1_1&10_ib,1_2&10_ib,1_4&5_ib,1_5&8_ib,1_7&9_ib,2_11&15_ib,2_12&15_ib,2_13&16_ib
G,1_4_ib,2_12_ib,2_20_ib,1_1&3_ib,1_2&3_ib,1_3&4_ib,1_4&6_ib,1_5&9_ib,1_7&10_ib,2_11&16_ib,2_12&16_ib,2_13&17_ib
H,1_5_ib,2_13_ib,3_21_ib,1_1&4_ib,1_2&4_ib,1_3&5_ib,1_4&7_ib,1_5&10_ib,1_8&9_ib,2_11&17_ib,2_12&17_ib,2_13&18_ib
