,id,id,id,id,id,id,id,id,id,id,id,id
,1,2,3,4,5,6,7,8,9,10,11,12
A,1_wt_b,1_6_b,2_14_b,3_22_b,1_1&5_b,1_2&5_b,1_3&6_b,1_4&8_b,1_6&7_b,1_8&10_b,2_11&18_b,2_12&18_b
B,2_wt_b,1_7_b,2_15_b,3_23_b,1_1&6_b,1_2&6_b,1_3&7_b,1_4&9_b,1_6&8_b,1_9&10_b,2_11&19_b,2_12&19_b
C,3_wt_b,1_8_b,2_16_b,3_24_b,1_1&7_b,1_2&7_b,1_3&8_b,1_4&10_b,1_6&9_b,2_11&12_b,2_11&20_b,2_12&20_b
D,1_1_b,1_9_b,2_17_b,3_25_b,1_1&8_b,1_2&8_b,1_3&9_b,1_5&6_b,1_6&10_b,2_11&13_b,2_12&13_b,2_13&14_b
E,1_2_b,1_10_b,2_18_b,3_26_b,1_1&9_b,1_2&9_b,1_3&10_b,1_5&7_b,1_7&8_b,2_11&14_b,2_12&14_b,2_13&15_b
F,1_3_b,2_11_b,2_19_b,1_1&2_b,1_1&10_b,1_2&10_b,1_4&5_b,1_5&8_b,1_7&9_b,2_11&15_b,2_12&15_b,2_13&16_b
G,1_4_b,2_12_b,2_20_b,1_1&3_b,1_2&3_b,1_3&4_b,1_4&6_b,1_5&9_b,1_7&10_b,2_11&16_b,2_12&16_b,2_13&17_b
H,1_5_b,2_13_b,3_21_b,1_1&4_b,1_2&4_b,1_3&5_b,1_4&7_b,1_5&10_b,1_8&9_b,2_11&17_b,2_12&17_b,2_13&18_b
