Volume,SourcePlateBarcode,SourcePlateWell,DestinationPlateBarcode,DestinationPlateWell,ComponentName,dest_name
17.5,MastermixTrough,A2,MAON-pcr2,A1,mm,1_wt-2_wt-3_wt
17.5,MastermixTrough,B2,MAON-pcr2,B1,mm,1_wt-2_wt-3_1
17.5,MastermixTrough,C2,MAON-pcr2,C1,mm,1_wt-2_wt-3_2
17.5,MastermixTrough,D2,MAON-pcr2,D1,mm,1_wt-2_1-3_wt
17.5,MastermixTrough,E2,MAON-pcr2,E1,mm,1_wt-2_1-3_1
17.5,MastermixTrough,F2,MAON-pcr2,F1,mm,1_wt-2_1-3_2
17.5,MastermixTrough,G2,MAON-pcr2,G1,mm,1_wt-2_2-3_wt
17.5,MastermixTrough,H2,MAON-pcr2,H1,mm,1_wt-2_2-3_1
17.5,MastermixTrough,A2,MAON-pcr2,A2,mm,1_wt-2_2-3_2
17.5,MastermixTrough,B2,MAON-pcr2,B2,mm,1_1-2_wt-3_wt
17.5,MastermixTrough,C2,MAON-pcr2,C2,mm,1_1-2_wt-3_1
17.5,MastermixTrough,D2,MAON-pcr2,D2,mm,1_1-2_wt-3_2
17.5,MastermixTrough,E2,MAON-pcr2,E2,mm,1_1-2_1-3_wt
17.5,MastermixTrough,F2,MAON-pcr2,F2,mm,1_1-2_1-3_1
17.5,MastermixTrough,G2,MAON-pcr2,G2,mm,1_1-2_1-3_2
17.5,MastermixTrough,H2,MAON-pcr2,H2,mm,1_1-2_2-3_wt
17.5,MastermixTrough,A2,MAON-pcr2,A3,mm,1_1-2_2-3_1
17.5,MastermixTrough,B2,MAON-pcr2,B3,mm,1_2-2_wt-3_wt
17.5,MastermixTrough,C2,MAON-pcr2,C3,mm,1_2-2_wt-3_1
17.5,MastermixTrough,D2,MAON-pcr2,D3,mm,1_2-2_wt-3_2
17.5,MastermixTrough,E2,MAON-pcr2,E3,mm,1_2-2_1-3_wt
17.5,MastermixTrough,F2,MAON-pcr2,F3,mm,1_2-2_1-3_1
17.5,MastermixTrough,G2,MAON-pcr2,G3,mm,1_2-2_2-3_wt
1.5,MAON-wt-bk,A1,MAON-pcr2,A1,1_wt_p,1_wt-2_wt-3_wt
